Time (s),HbO_avg,HbR_avg,Stim?
375.94,-8.012661025230703e-06,-1.0098996148777681e-05,1
375.96,-8.027222894720945e-06,-1.0313019682157782e-05,1
375.98,-8.040106958860793e-06,-1.0501730397770047e-05,1
376.0,-8.051281989065299e-06,-1.0666686726059984e-05,1
376.02,-8.06206732610879e-06,-1.0804494316010906e-05,1
376.04,-8.071818729793066e-06,-1.091613728123892e-05,1
376.06,-8.080413862883843e-06,-1.0999351901657488e-05,1
376.08,-8.089683094313007e-06,-1.1055491333814605e-05,1
376.1,-8.099021534489688e-06,-1.1086076483959332e-05,1
376.12,-8.107815986051967e-06,-1.1090655184009924e-05,1
376.14,-8.117152396000335e-06,-1.1070137444699094e-05,1
376.16,-8.12716746228051e-06,-1.1023524598901679e-05,1
376.18,-8.137861200602588e-06,-1.095329793658429e-05,1
376.2,-8.14888263081677e-06,-1.0858626445703949e-05,1
376.22,-8.16069544652583e-06,-1.0741768074652793e-05,1
376.24,-8.173144638516317e-06,-1.0605286073076937e-05,1
376.26,-8.186388619629252e-06,-1.0448006341339724e-05,1
376.28000000000003,-8.201654564732096e-06,-1.0270896440038775e-05,1
376.3,-8.217427665042154e-06,-1.0077313275647494e-05,1
376.32,-8.233161398725367e-06,-9.864805717595292e-06,1
376.34000000000003,-8.24939515099225e-06,-9.638298557119394e-06,1
376.36,-8.266121102516797e-06,-9.39999816966554e-06,1
376.38,-8.282532875636394e-06,-9.147972378650375e-06,1
376.40000000000003,-8.298594561556866e-06,-8.882251234283657e-06,1
376.42,-8.314336485975255e-06,-8.609706388425738e-06,1
376.44,-8.32885523429884e-06,-8.328648864642347e-06,1
376.46,-8.342023943867948e-06,-8.041134696019536e-06,1
376.48,-8.35351331594624e-06,-7.747199545765334e-06,1
376.5,-8.362710615040318e-06,-7.4477364652814744e-06,1
376.52,-8.368193184481685e-06,-7.146466126246975e-06,1
376.54,-8.370339100898089e-06,-6.84201682593204e-06,1
376.56,-8.368022484145146e-06,-6.539198679364228e-06,1
376.58,-8.360943827907103e-06,-6.2357774480137296e-06,1
376.6,-8.348942368769443e-06,-5.930200246394974e-06,1
376.62,-8.330443043515023e-06,-5.626806152764719e-06,1
376.64,-8.304975134139049e-06,-5.324414728714068e-06,1
376.66,-8.272015322687842e-06,-5.0234437345607135e-06,1
376.68,-8.231084136629683e-06,-4.724007164682772e-06,1
376.7,-8.181498679269353e-06,-4.427265556523948e-06,1
376.72,-8.123108693821713e-06,-4.135339750003926e-06,1
376.74,-8.054838059025203e-06,-3.846635100769014e-06,1
376.76,-7.975026764290392e-06,-3.562393906870836e-06,1
376.78000000000003,-7.884154897897707e-06,-3.2817859406993196e-06,1
376.8,-7.781701488614443e-06,-3.007157828303652e-06,1
376.82,-7.666732272169595e-06,-2.7342440354170415e-06,1
376.84000000000003,-7.538493727814539e-06,-2.4647572282413586e-06,1
376.86,-7.396949330373113e-06,-2.2003413700399955e-06,1
376.88,-7.2411866541624655e-06,-1.9380581651103873e-06,1
376.90000000000003,-7.071949111744024e-06,-1.6798371644765146e-06,1
376.92,-6.888976189241788e-06,-1.4264351991849347e-06,1
376.94,-6.691851394514552e-06,-1.1782238470931611e-06,1
376.96,-6.480177236217991e-06,-9.316206999893412e-07,1
376.98,-6.253726582465815e-06,-6.898232685518202e-07,1
377.0,-6.012357325347311e-06,-4.5103385017030166e-07,1
377.02,-5.756673911331078e-06,-2.1738107415260186e-07,1
377.04,-5.487028275684249e-06,1.1615052584727164e-08,1
377.06,-5.204042807860496e-06,2.3580703896821228e-07,1
377.08,-4.906759339265256e-06,4.5602227437519967e-07,1
377.1,-4.596362046815999e-06,6.708061605860906e-07,1
377.12,-4.273441440808802e-06,8.82032621718148e-07,1
377.14,-3.9382264849813755e-06,1.0869990745063431e-06,1
377.16,-3.5915732418898863e-06,1.2867521864223671e-06,1
377.18,-3.2342612828178044e-06,1.480916606392879e-06,1
377.2,-2.867701311850897e-06,1.6682967498013623e-06,1
377.22,-2.4916014047968276e-06,1.8482857374883263e-06,1
377.24,-2.107597944620894e-06,2.0201684432606987e-06,1
377.26,-1.7170012350340958e-06,2.185989729389176e-06,1
377.28000000000003,-1.3212671386210295e-06,2.344978721647292e-06,1
377.3,-9.210771423868042e-07,2.4971508267418803e-06,1
377.32,-5.170512359336788e-07,2.637683756464285e-06,1
377.34000000000003,-1.1145988823564593e-07,2.7716969819199142e-06,1
377.36,2.9468825117031605e-07,2.8959061259511593e-06,1
377.38,7.004305277051517e-07,3.0110278888052704e-06,1
377.40000000000003,1.1048366681376916e-06,3.115776042132639e-06,1
377.42,1.5064087355679495e-06,3.2130118140389875e-06,1
377.44,1.9035901588915e-06,3.2981041943260746e-06,1
377.46,2.294787061814408e-06,3.374472674937779e-06,1
377.48,2.678528689736989e-06,3.4403888572611896e-06,1
377.5,3.053434113692964e-06,3.496662419086542e-06,1
377.52,3.4196070023294624e-06,3.541102909301394e-06,1
377.54,3.7756647090313566e-06,3.577923989581818e-06,1
377.56,4.1201669398931e-06,3.6076046993007075e-06,1
377.58,4.451269219068093e-06,3.6255067978530255e-06,1
377.6,4.768730722279306e-06,3.634570525498718e-06,1
377.62,5.071343439833856e-06,3.638032408480352e-06,1
377.64,5.358351096439228e-06,3.632857575982123e-06,1
377.66,5.628667541001136e-06,3.6223590700577793e-06,1
377.68,5.8820620042760055e-06,3.606449274733127e-06,1
377.7,6.1170026691295515e-06,3.5871859444353495e-06,1
377.72,6.334266417489891e-06,3.565573810818249e-06,1
377.74,6.532734671349158e-06,3.5413442977901906e-06,1
377.76,6.7125620636489865e-06,3.515444109710936e-06,1
377.78000000000003,6.87243415163934e-06,3.489498094545735e-06,1
377.8,7.014188908007993e-06,3.4638092540812615e-06,1
377.82,7.1363930731116836e-06,3.4433237987771577e-06,1
377.84000000000003,7.23842253383269e-06,3.42607943816089e-06,1
377.86,7.322230126592891e-06,3.4139546615878006e-06,1
377.88,7.387052570545505e-06,3.4111400437766487e-06,1
377.90000000000003,7.434133554052141e-06,3.417279096246035e-06,1
377.92,7.463745111730479e-06,3.4329683957039206e-06,1
377.94,7.476133262650418e-06,3.462033539272094e-06,1
377.96,7.47205218594265e-06,3.5024016454800564e-06,1
377.98,7.452150235014152e-06,3.555989756589568e-06,1
378.0,7.4174409936621225e-06,3.624036782033843e-06,1
378.02,7.368694264613793e-06,3.707918316920778e-06,1
378.04,7.306772040455999e-06,3.807544698782664e-06,1
378.06,7.232630246962166e-06,3.923276984357371e-06,1
378.08,7.147243288046513e-06,4.060173899455954e-06,1
378.1,7.051773991470247e-06,4.217437365903113e-06,1
378.12,6.947432046382294e-06,4.390300310621268e-06,1
378.14,6.8364861877882595e-06,4.5810790308969524e-06,1
378.16,6.71900785945672e-06,4.789809487996696e-06,1
378.18,6.59694239717806e-06,5.016801104122434e-06,1
378.2,6.470375005594783e-06,5.2618195112349774e-06,1
378.22,6.341260803571475e-06,5.523453923095713e-06,1
378.24,6.210368161644196e-06,5.7999601742332315e-06,1
378.26,6.078761255582575e-06,6.093186610596951e-06,1
378.28000000000003,5.9471128305304395e-06,6.401263598136202e-06,1
378.3,5.8169325000091334e-06,6.72160828919686e-06,1
378.32,5.689761396605259e-06,7.051543457270016e-06,1
378.34000000000003,5.564940764990967e-06,7.391701384305431e-06,1
378.36,5.444052349785808e-06,7.738315028242282e-06,1
378.38,5.328637496466545e-06,8.087893071279984e-06,1
378.40000000000003,5.218718075195628e-06,8.442125994411e-06,1
378.42,5.114603299579651e-06,8.795817402112606e-06,1
378.44,5.017196063968503e-06,9.14553083711303e-06,1
378.46,4.927295592514513e-06,9.492043193657069e-06,1
378.48,4.845000799982762e-06,9.830962243508178e-06,1
378.5,4.769976228409349e-06,1.0161128940158177e-05,1
378.52,4.702834664536924e-06,1.047851594863057e-05,1
378.54,4.643634988547511e-06,1.0781483399002637e-05,1
378.56,4.592201437998168e-06,1.106751169323107e-05,1
378.58,4.548667914708986e-06,1.1332048078358178e-05,1
378.6,4.51282061619413e-06,1.1576647537768847e-05,1
378.62,4.483582889760133e-06,1.1795290740688182e-05,1
378.64,4.461143237194292e-06,1.1985740380480167e-05,1
378.66,4.445409772336874e-06,1.214563263695949e-05,1
378.68,4.43596565022507e-06,1.2275766694586465e-05,1
378.7,4.431653124824066e-06,1.2372670438141335e-05,1
378.72,4.432443060750723e-06,1.243417038530557e-05,1
378.74,4.437584100643357e-06,1.2460008412567954e-05,1
378.76,4.4458601459798145e-06,1.2447138553581144e-05,1
378.78000000000003,4.456641493418414e-06,1.2397041516198248e-05,1
378.8,4.470063859455966e-06,1.2308074015689761e-05,1
378.82,4.484519612321685e-06,1.2176835123052826e-05,1
378.84000000000003,4.498973100285168e-06,1.2006613525735138e-05,1
378.86,4.512864883530047e-06,1.1795675904035703e-05,1
378.88,4.525920361743683e-06,1.1543960977434144e-05,1
378.90000000000003,4.536516935984711e-06,1.125333872563402e-05,1
378.92,4.544391110616552e-06,1.0925147723416884e-05,1
378.94,4.54813737839554e-06,1.056001836441225e-05,1
378.96,4.547322082269723e-06,1.01579033648883e-05,1
378.98,4.541697905551187e-06,9.719810173899622e-06,1
379.0,4.529187152868757e-06,9.250182738624586e-06,1
379.02,4.5106789588575726e-06,8.751849845414698e-06,1
379.04,4.484578409602939e-06,8.224477200395892e-06,1
379.06,4.450461741785646e-06,7.672937673083456e-06,1
379.08,4.408777403987234e-06,7.0982034696391785e-06,1
379.1,4.357199282188323e-06,6.503460624311706e-06,1
379.12,4.297274036681272e-06,5.890480542201075e-06,1
379.14,4.2273497414197295e-06,5.266359069578978e-06,1
379.16,4.1480871600426635e-06,4.6340456527038226e-06,1
379.18,4.058675605540442e-06,3.9932440621312995e-06,1
379.2,3.958695810521199e-06,3.347316642134729e-06,1
379.22,3.849122320160401e-06,2.70084585464754e-06,1
379.24,3.7288373596965036e-06,2.0567162667781896e-06,1
379.26,3.5990015028125967e-06,1.4195595435361386e-06,1
379.28000000000003,3.4589563314911706e-06,7.921720900667758e-07,1
379.3,3.308900773785218e-06,1.7669668363938184e-07,1
379.32,3.1488611262223583e-06,-4.231290337523859e-07,1
379.34000000000003,2.980143805116893e-06,-1.0040292734227004e-06,1
379.36,2.802342436522455e-06,-1.56271862014568e-06,1
379.38,2.6154094898871743e-06,-2.101391824159911e-06,1
379.40000000000003,2.4204903158856154e-06,-2.6131392397852916e-06,1
379.42,2.218429606002573e-06,-3.0969851287183953e-06,1
379.44,2.0078666405469567e-06,-3.551129533820464e-06,1
379.46,1.7895770630817852e-06,-3.972234513328076e-06,1
379.48,1.564757072319621e-06,-4.360150822300967e-06,1
379.5,1.3340855346878554e-06,-4.716296186383352e-06,1
379.52,1.0981549624734366e-06,-5.039324524787877e-06,1
379.54,8.575185729442832e-07,-5.3246335010985405e-06,1
379.56,6.124278591763723e-07,-5.575042689414834e-06,1
379.58,3.6358098759261523e-07,-5.792162318268508e-06,1
379.6,1.1034470640585053e-07,-5.971094549806038e-06,1
379.62,-1.4574751187077064e-07,-6.1145831876648175e-06,1
379.64,-4.0499434875630987e-07,-6.221618968954647e-06,1
379.66,-6.662335554805725e-07,-6.298633673631516e-06,1
379.68,-9.297531627820915e-07,-6.343548528389885e-06,1
379.7,-1.1948518722068921e-06,-6.358021557488034e-06,1
379.72,-1.4616395492451226e-06,-6.3452021540696446e-06,1
379.74,-1.7294250150605528e-06,-6.304880909232816e-06,1
379.76,-1.9972498824949684e-06,-6.2387536754450735e-06,1
379.78000000000003,-2.2652107348079188e-06,-6.152604076856142e-06,1
379.8,-2.533861447693066e-06,-6.0498644594832215e-06,1
379.82,-2.8023988775198636e-06,-5.928247054956984e-06,1
379.84000000000003,-3.0714017689325286e-06,-5.793260317283276e-06,1
379.86,-3.3391434988450373e-06,-5.647392639582706e-06,1
379.88,-3.6070676725215624e-06,-5.492598637229952e-06,1
379.90000000000003,-3.873641964047043e-06,-5.33215892870612e-06,1
379.92,-4.139556180114083e-06,-5.167604521099043e-06,1
379.94,-4.405102283211321e-06,-5.000403578287486e-06,1
379.96,-4.670207909916743e-06,-4.838120631771037e-06,1
379.98,-4.934737346537972e-06,-4.681660081671529e-06,1
380.0,-5.198633362241726e-06,-4.529878351981645e-06,1
380.02,-5.462273142987391e-06,-4.387992973345194e-06,1
380.04,-5.724539864934946e-06,-4.256621070942204e-06,1
380.06,-5.986670531608131e-06,-4.140077716721926e-06,1
380.08,-6.248112192467198e-06,-4.038511553272301e-06,1
380.1,-6.50766326926587e-06,-3.955100718998995e-06,1
380.12,-6.765941364942303e-06,-3.8906328874674665e-06,1
380.14,-7.023947107311522e-06,-3.846183626169461e-06,1
380.16,-7.280020499110163e-06,-3.822709967431355e-06,1
380.18,-7.5346608287450915e-06,-3.82221200002632e-06,1
380.2,-7.787547183307047e-06,-3.843680357519617e-06,1
380.22,-8.038309328199858e-06,-3.887627390572883e-06,1
380.24,-8.28787990821114e-06,-3.953721560865545e-06,1
380.26,-8.535189392855225e-06,-4.043614935988353e-06,1
380.28000000000003,-8.780873649826315e-06,-4.155867432829645e-06,1
380.3,-9.022864045045154e-06,-4.287935592984134e-06,1
380.32,-9.2613836101557e-06,-4.440790433429765e-06,1
380.34000000000003,-9.497179844078598e-06,-4.615810610223194e-06,1
380.36,-9.728668664744264e-06,-4.810404330468975e-06,1
380.38,-9.955771814792767e-06,-5.024026507525706e-06,1
380.40000000000003,-1.017815953956068e-05,-5.2529209069625e-06,1
380.42,-1.0394734939486614e-05,-5.49710395429655e-06,1
380.44,-1.0605684140009862e-05,-5.752470721478348e-06,1
380.46,-1.081048594658121e-05,-6.018456143700486e-06,1
380.48,-1.1008298363804492e-05,-6.292856114014772e-06,1
380.5,-1.1198070335363568e-05,-6.574898300498286e-06,1
380.52,-1.1379291031243271e-05,-6.862225929841636e-06,1
380.54,-1.1550872194013557e-05,-7.149633907938875e-06,1
380.56,-1.1712777587986405e-05,-7.436605206658927e-06,1
380.58,-1.1864094602685124e-05,-7.725262347992156e-06,1
380.6,-1.2004232956113108e-05,-8.010859303896642e-06,1
380.62,-1.2132686101336775e-05,-8.288449400881816e-06,1
380.64,-1.2249061570005002e-05,-8.558693233533969e-06,1
380.66,-1.2352599236474528e-05,-8.820063271814749e-06,1
380.68,-1.2442364118503205e-05,-9.069412888370912e-06,1
380.7,-1.2519390372928502e-05,-9.30499854703869e-06,1
380.72,-1.2581634175186286e-05,-9.525600775114787e-06,1
380.74,-1.2628694655607736e-05,-9.730215075206902e-06,1
380.76,-1.2660682172061231e-05,-9.917611336519856e-06,1
380.78000000000003,-1.267767582779636e-05,-1.008459208375481e-05,1
380.8,-1.2678255309552506e-05,-1.0233357237296953e-05,1
380.82,-1.2663436451047358e-05,-1.0361404738478221e-05,1
380.84000000000003,-1.2631226669739912e-05,-1.0470205862647204e-05,1
380.86,-1.2582905013653414e-05,-1.055821205702599e-05,1
380.88,-1.2518897550506828e-05,-1.0626404966331984e-05,1
380.90000000000003,-1.2438622271375929e-05,-1.0671341417474843e-05,1
380.92,-1.2342080324902177e-05,-1.0695580358148519e-05,1
380.94,-1.222935653207837e-05,-1.0701029561930608e-05,1
380.96,-1.2100175540209016e-05,-1.0684740598749366e-05,1
380.98,-1.1955845796398635e-05,-1.0650298064059045e-05,1
381.0,-1.1796361052861628e-05,-1.059888228989511e-05,1
381.02,-1.1622384453404636e-05,-1.0528969198806683e-05,1
381.04,-1.1433776048795869e-05,-1.0442733972796575e-05,1
381.06,-1.1232234260554792e-05,-1.0339750374470061e-05,1
381.08,-1.1017136358986294e-05,-1.0221640944833223e-05,1
381.1,-1.0789335905333345e-05,-1.0089036463760127e-05,1
381.12,-1.055039064437696e-05,-9.943833322759321e-06,1
381.14,-1.0300408564431063e-05,-9.785953418520438e-06,1
381.16,-1.0041236885716508e-05,-9.618525942819629e-06,1
381.18,-9.773318517826819e-06,-9.443662289958516e-06,1
381.2,-9.496855645378188e-06,-9.26300955617227e-06,1
381.22,-9.213666160557258e-06,-9.075050423993543e-06,1
381.24,-8.92417233145485e-06,-8.882395322959742e-06,1
381.26,-8.629054081510871e-06,-8.686667007463623e-06,1
381.28000000000003,-8.329229371465414e-06,-8.486621948272275e-06,1
381.3,-8.026426653631516e-06,-8.28501296641828e-06,1
381.32,-7.721210426339757e-06,-8.08132613191961e-06,1
381.34000000000003,-7.413840934657087e-06,-7.87871397563191e-06,1
381.36,-7.106159129547949e-06,-7.676472641918375e-06,1
381.38,-6.798765016997424e-06,-7.475432620797867e-06,1
381.40000000000003,-6.492801125738457e-06,-7.276616839796854e-06,1
381.42,-6.189203569073207e-06,-7.079272256495553e-06,1
381.44,-5.8884635522484495e-06,-6.885048512007474e-06,1
381.46,-5.59135942149715e-06,-6.694423785814088e-06,1
381.48,-5.298556656071982e-06,-6.506398710721417e-06,1
381.5,-5.009503138617414e-06,-6.3169534671166675e-06,1
381.52,-4.7261211724020625e-06,-6.131098821079322e-06,1
381.54,-4.448879191909626e-06,-5.947224162602124e-06,1
381.56,-4.177585107165369e-06,-5.763232363238881e-06,1
381.58,-3.913444736084859e-06,-5.578587855373259e-06,1
381.6,-3.6565166459689385e-06,-5.393205657670715e-06,1
381.62,-3.4073660238806037e-06,-5.207955286881635e-06,1
381.64,-3.1647447782117497e-06,-5.018135941916543e-06,1
