Time (s),HbO_avg,HbR_avg
237.9,2.8364297305681106e-05,1.5401106593117366e-06
237.92000000000002,2.2591525416526724e-05,1.4030859536859412e-06
237.94,1.6763745140457185e-05,1.2655837820765693e-06
237.96,1.092670197061234e-05,1.1261052317719038e-06
237.98000000000002,5.107996002417327e-06,9.84090974813748e-07
238.0,-6.467320537142531e-07,8.399014167168332e-07
238.02,-6.3076094138230896e-06,6.914210640735047e-07
238.04,-1.1849122410736783e-05,5.379772421627362e-07
238.06,-1.7234525454633697e-05,3.799962992637525e-07
238.08,-2.2437840095813816e-05,2.1685117458123963e-07
238.1,-2.7424758436211828e-05,5.1213897677121045e-08
238.12,-3.2163534335778454e-05,-1.1743957763132312e-07
238.14000000000001,-3.6632130318790025e-05,-2.8708099214036845e-07
238.16,-4.079172624308237e-05,-4.5642560099463616e-07
238.18,-4.4635130246143185e-05,-6.226409501771022e-07
238.20000000000002,-4.813137543631176e-05,-7.83636970846654e-07
238.22,-5.1246253235088705e-05,-9.382970977103743e-07
238.24,-5.399102542666053e-05,-1.0848093509609949e-06
238.26,-5.6333902764969094e-05,-1.2190478212798777e-06
238.28,-5.824875249877537e-05,-1.3353968968655217e-06
238.3,-5.9735217139879424e-05,-1.4343405551110822e-06
238.32,-6.0786066994025464e-05,-1.509130529831166e-06
238.34,-6.138928627653287e-05,-1.55727181861281e-06
238.36,-6.1549181916033e-05,-1.5786099772777545e-06
238.38,-6.125859542570081e-05,-1.5683389716278063e-06
238.4,-6.052518240480791e-05,-1.5233410830029302e-06
238.42000000000002,-5.934456403069455e-05,-1.441324627453159e-06
238.44,-5.7750942736853596e-05,-1.3161084093245715e-06
238.46,-5.5726931536973245e-05,-1.1486636542022293e-06
238.48000000000002,-5.3297246578545723e-05,-9.375151173450054e-07
238.5,-5.048459308553263e-05,-6.777147523722333e-07
238.52,-4.7281660174192436e-05,-3.694272901407065e-07
238.54,-4.373583257915891e-05,-1.1143852420190205e-08
238.56,-3.9868841416740446e-05,3.9594746487968957e-07
238.58,-3.5721766203949916e-05,8.553321233470445e-07
238.6,-3.1295611648716773e-05,1.3638944019753679e-06
238.62,-2.664026313886627e-05,1.9213499896790423e-06
238.64000000000001,-2.1787706388699745e-05,2.5286233160012325e-06
238.66,-1.675978719192212e-05,3.1833079094754314e-06
238.68,-1.1604711898755142e-05,3.881961334613074e-06
238.70000000000002,-6.353593280117442e-06,4.622310266939168e-06
238.72,-1.0483996598799458e-06,5.401509476084534e-06
238.74,4.276432796677509e-06,6.215935730039217e-06
238.76,9.574406597523595e-06,7.05913190982848e-06
238.78,1.4808259583609092e-05,7.928068930407337e-06
238.8,1.9950313113160834e-05,8.818267349318156e-06
238.82,2.494655680321481e-05,9.722583668246458e-06
238.84,2.975819064398152e-05,1.0634622288379135e-05
238.86,3.43496062801742e-05,1.1549344119686618e-05
238.88,3.8690996886042536e-05,1.2460575131151441e-05
238.9,4.274310549504595e-05,1.3358936514886479e-05
238.92000000000002,4.647727107736949e-05,1.4238957659625884e-05
238.94,4.98662017025159e-05,1.50942513350698e-05
238.96,5.2880515584471826e-05,1.5915674662083482e-05
238.98000000000002,5.54941737956831e-05,1.6697138478491765e-05
239.0,5.768276316202677e-05,1.74295351460692e-05
239.02,5.9427250993433935e-05,1.8107014155253563e-05
239.04,6.0717671567966806e-05,1.872333848348078e-05
239.06,6.154077713952099e-05,1.9268809892029766e-05
239.08,6.188374328369064e-05,1.9741205740182323e-05
239.1,6.174910904553147e-05,2.0132891438530767e-05
239.12,6.111904963467015e-05,2.0437513375518817e-05
239.14000000000001,5.9996548257445214e-05,2.065203558265695e-05
239.16,5.8393320480870955e-05,2.0769946489908934e-05
239.18,5.63076617820868e-05,2.0790984163809546e-05
239.20000000000002,5.373987726910131e-05,2.070820352964028e-05
239.22,5.071507372866163e-05,2.0520364804855737e-05
239.24,4.72487665827201e-05,2.022543578178069e-05
239.26,4.335503946533244e-05,1.982234585632111e-05
239.28,3.907454134929384e-05,1.931115060137309e-05
239.3,3.442506980756612e-05,1.869258779604669e-05
239.32,2.9422418904358484e-05,1.7966826129815128e-05
239.34,2.4111678574900074e-05,1.713589257198042e-05
239.36,1.8537205020375272e-05,1.6203691901715247e-05
239.38,1.2714679110777108e-05,1.5173127336906765e-05
239.4,6.685829978849016e-06,1.4047027594760618e-05
239.42000000000002,4.831549241840385e-07,1.2831660458310827e-05
239.44,-5.841101262609436e-06,1.1531255729547715e-05
239.46,-1.2248669635013118e-05,1.01525298198502e-05
239.48000000000002,-1.8699667886299263e-05,8.701096485740101e-06
239.5,-2.5153704368783312e-05,7.183694839744717e-06
239.52,-3.1545126546304154e-05,5.6114026718267315e-06
239.54,-3.784318120043272e-05,3.989077326057918e-06
239.56,-4.4023768018842935e-05,2.3256734881855155e-06
239.58,-5.0024752249699375e-05,6.306374740087089e-07
239.6,-5.57965319382039e-05,-1.0872815383274124e-06
239.62,-6.13179062367386e-05,-2.8196025147161232e-06
239.64000000000001,-6.65651100394784e-05,-4.556887820509058e-06
239.66,-7.14612245686379e-05,-6.291024916540333e-06
239.68,-7.598831851902644e-05,-8.012386044045683e-06
239.70000000000002,-8.011823904331613e-05,-9.709687562182602e-06
239.72,-8.381388447001665e-05,-1.137637948261339e-05
239.74,-8.707148713197237e-05,-1.3004975974084908e-05
239.76,-8.985161549475959e-05,-1.4585104848816314e-05
239.78,-9.211513654039597e-05,-1.6110289415303477e-05
239.8,-9.386773709812283e-05,-1.7574028563230707e-05
239.82,-9.508440281239523e-05,-1.8967805778096465e-05
239.84,-9.575681521000914e-05,-2.0286240462050725e-05
239.86,-9.588531631389362e-05,-2.1524658097988152e-05
239.88,-9.546585761186547e-05,-2.2676248952276462e-05
239.9,-9.449420563919773e-05,-2.3737499320526183e-05
239.92000000000002,-9.298169372593215e-05,-2.4704036627676104e-05
239.94,-9.093664073525078e-05,-2.5574137275828986e-05
239.96,-8.83658557335417e-05,-2.6346864760255613e-05
239.98000000000002,-8.529296242990945e-05,-2.7018300266442543e-05
240.0,-8.174541094266348e-05,-2.7591061600532063e-05
240.02,-7.774910554075451e-05,-2.8063628796094957e-05
240.04,-7.33053425768383e-05,-2.8435037483661162e-05
240.06,-6.845962119109711e-05,-2.8708308567103154e-05
240.08,-6.3241217620949e-05,-2.8886977446820105e-05
240.1,-5.766756699087984e-05,-2.8973280120037902e-05
240.12,-5.180133766873958e-05,-2.896989846889817e-05
240.14000000000001,-4.568282627667093e-05,-2.8884153606548444e-05
240.16,-3.933340665246754e-05,-2.871727149001973e-05
